candidate,office,district,party,county,precinct,total votes,votes
,Ballots Cast,,DEM,Columbia,38 W Scappoose,,96
,Ballots Cast,,IND,Columbia,38 W Scappoose,,2
,Ballots Cast,,REP,Columbia,38 W Scappoose,,88
,Ballots Cast,,Blank,Columbia,38 W Scappoose,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,38 W Scappoose,,3
Suzanne Bonamici,U.S. House,1,DEM,Columbia,38 W Scappoose,,79
Michael E Stansfield,U.S. House,1,DEM,Columbia,38 W Scappoose,,8
Write In,U.S. House,1,DEM,Columbia,38 W Scappoose,,0
Over votes,U.S. House,1,DEM,Columbia,38 W Scappoose,,0
Under votes,U.S. House,1,DEM,Columbia,38 W Scappoose,,6
Ed Jones,Governor,,DEM,Columbia,38 W Scappoose,,15
Kate Brown,Governor,,DEM,Columbia,38 W Scappoose,,66
Candace Neville,Governor,,DEM,Columbia,38 W Scappoose,,8
Write-Ins,Governor,,DEM,Columbia,38 W Scappoose,,0
Over votes,Governor,,DEM,Columbia,38 W Scappoose,,0
Under votes,Governor,,DEM,Columbia,38 W Scappoose,,7
Betsy Johnson,State Senate,16,DEM,Columbia,38 W Scappoose,,78
Write In,State Senate,16,DEM,Columbia,38 W Scappoose,,1
Over votes,State Senate,16,DEM,Columbia,38 W Scappoose,,0
Under votes,State Senate,16,DEM,Columbia,38 W Scappoose,,17
Brad Witt,State House,31,DEM,Columbia,38 W Scappoose,,70
Write In,State House,31,DEM,Columbia,38 W Scappoose,,2
Over votes,State House,31,DEM,Columbia,38 W Scappoose,,0
Under votes,State House,31,DEM,Columbia,38 W Scappoose,,24
Write In,U.S. House,1,IND,Columbia,38 W Scappoose,,1
Over votes,U.S. House,1,IND,Columbia,38 W Scappoose,,0
Under votes,U.S. House,1,IND,Columbia,38 W Scappoose,,1
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,38 W Scappoose,,0
Skye J Allen,Governor,,IND,Columbia,38 W Scappoose,,0
Patrick Starnes,Governor,,IND,Columbia,38 W Scappoose,,0
Write In,Governor,,IND,Columbia,38 W Scappoose,,1
Over votes,Governor,,IND,Columbia,38 W Scappoose,,0
Under votes,Governor,,IND,Columbia,38 W Scappoose,,1
Write In,State Senate,16,IND,Columbia,38 W Scappoose,,1
Over votes,State Senate,16,IND,Columbia,38 W Scappoose,,0
Under votes,State Senate,16,IND,Columbia,38 W Scappoose,,1
Write In,State House,31,IND,Columbia,38 W Scappoose,,1
Over votes,State House,31,IND,Columbia,38 W Scappoose,,0
Under votes,State House,31,IND,Columbia,38 W Scappoose,,1
John Verbeek,U.S. House,1,REP,Columbia,38 W Scappoose,,34
George Griffith,U.S. House,1,REP,Columbia,38 W Scappoose,,22
Preston L Miller,U.S. House,1,REP,Columbia,38 W Scappoose,,9
Write In,U.S. House,1,REP,Columbia,38 W Scappoose,,1
Over votes,U.S. House,1,REP,Columbia,38 W Scappoose,,0
Under votes,U.S. House,1,REP,Columbia,38 W Scappoose,,22
Knute Buehler,Governor,,REP,Columbia,38 W Scappoose,,28
Keenen W Bohach,Governor,,REP,Columbia,38 W Scappoose,,1
Greg C Wooldridge,Governor,,REP,Columbia,38 W Scappoose,,16
Jonathan I Edwards III,Governor,,REP,Columbia,38 W Scappoose,,0
David W Stauffer,Governor,,REP,Columbia,38 W Scappoose,,0
Jeff Smith,Governor,,REP,Columbia,38 W Scappoose,,0
Jack W Tacy ,Governor,,REP,Columbia,38 W Scappoose,,0
Brett Hyland,Governor,,REP,Columbia,38 W Scappoose,,0
Bruce Cuff,Governor,,REP,Columbia,38 W Scappoose,,5
Sam Carpenter,Governor,,REP,Columbia,38 W Scappoose,,33
Write In,Governor,,REP,Columbia,38 W Scappoose,,1
Over votes,Governor,,REP,Columbia,38 W Scappoose,,0
Under votes,Governor,,REP,Columbia,38 W Scappoose,,4
Write In,State Senate,16,REP,Columbia,38 W Scappoose,,22
Over votes,State Senate,16,REP,Columbia,38 W Scappoose,,0
Under votes,State Senate,16,REP,Columbia,38 W Scappoose,,66
Brian G Stout,State House,31,REP,Columbia,38 W Scappoose,,53
Write In,State House,31,REP,Columbia,38 W Scappoose,,1
Over votes,State House,31,REP,Columbia,38 W Scappoose,,0
Under votes,State House,31,REP,Columbia,38 W Scappoose,,34
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,38 W Scappoose,,65
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,38 W Scappoose,,66
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,38 W Scappoose,,24
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,38 W Scappoose,,0
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,38 W Scappoose,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,38 W Scappoose,,51
,Registered Voters,,,Columbia,39 Sauvie Island,,63
,Registered Voters,,NonPartisan,Columbia,39 Sauvie Island,,21
,Registered Voters,,DEM,Columbia,39 Sauvie Island,,19
,Registered Voters,,IND,Columbia,39 Sauvie Island,,2
,Registered Voters,,REP,Columbia,39 Sauvie Island,,21
,Ballots Cast,,,Columbia,39 Sauvie Island,,18
,Ballots Cast,,NonPartisan,Columbia,39 Sauvie Island,,3
,Ballots Cast,,DEM,Columbia,39 Sauvie Island,,7
,Ballots Cast,,IND,Columbia,39 Sauvie Island,,0
,Ballots Cast,,REP,Columbia,39 Sauvie Island,,8
,Ballots Cast,,Blank,Columbia,39 Sauvie Island,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,39 Sauvie Island,,0
Suzanne Bonamici,U.S. House,1,DEM,Columbia,39 Sauvie Island,,7
Michael E Stansfield,U.S. House,1,DEM,Columbia,39 Sauvie Island,,0
Write In,U.S. House,1,DEM,Columbia,39 Sauvie Island,,0
Over votes,U.S. House,1,DEM,Columbia,39 Sauvie Island,,0
Under votes,U.S. House,1,DEM,Columbia,39 Sauvie Island,,0
Ed Jones,Governor,,DEM,Columbia,39 Sauvie Island,,0
Kate Brown,Governor,,DEM,Columbia,39 Sauvie Island,,6
Candace Neville,Governor,,DEM,Columbia,39 Sauvie Island,,1
Write-Ins,Governor,,DEM,Columbia,39 Sauvie Island,,0
Over votes,Governor,,DEM,Columbia,39 Sauvie Island,,0
Under votes,Governor,,DEM,Columbia,39 Sauvie Island,,0
Betsy Johnson,State Senate,16,DEM,Columbia,39 Sauvie Island,,6
Write In,State Senate,16,DEM,Columbia,39 Sauvie Island,,1
Over votes,State Senate,16,DEM,Columbia,39 Sauvie Island,,0
Under votes,State Senate,16,DEM,Columbia,39 Sauvie Island,,0
Brad Witt,State House,31,DEM,Columbia,39 Sauvie Island,,6
Write In,State House,31,DEM,Columbia,39 Sauvie Island,,1
Over votes,State House,31,DEM,Columbia,39 Sauvie Island,,0
Under votes,State House,31,DEM,Columbia,39 Sauvie Island,,0
Write In,U.S. House,1,IND,Columbia,39 Sauvie Island,,0
Over votes,U.S. House,1,IND,Columbia,39 Sauvie Island,,0
Under votes,U.S. House,1,IND,Columbia,39 Sauvie Island,,0
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,39 Sauvie Island,,0
Skye J Allen,Governor,,IND,Columbia,39 Sauvie Island,,0
Patrick Starnes,Governor,,IND,Columbia,39 Sauvie Island,,0
Write In,Governor,,IND,Columbia,39 Sauvie Island,,0
Over votes,Governor,,IND,Columbia,39 Sauvie Island,,0
Under votes,Governor,,IND,Columbia,39 Sauvie Island,,0
Write In,State Senate,16,IND,Columbia,39 Sauvie Island,,0
Over votes,State Senate,16,IND,Columbia,39 Sauvie Island,,0
Under votes,State Senate,16,IND,Columbia,39 Sauvie Island,,0
Write In,State House,31,IND,Columbia,39 Sauvie Island,,0
Over votes,State House,31,IND,Columbia,39 Sauvie Island,,0
Under votes,State House,31,IND,Columbia,39 Sauvie Island,,0
John Verbeek,U.S. House,1,REP,Columbia,39 Sauvie Island,,2
George Griffith,U.S. House,1,REP,Columbia,39 Sauvie Island,,3
Preston L Miller,U.S. House,1,REP,Columbia,39 Sauvie Island,,2
Write In,U.S. House,1,REP,Columbia,39 Sauvie Island,,0
Over votes,U.S. House,1,REP,Columbia,39 Sauvie Island,,0
Under votes,U.S. House,1,REP,Columbia,39 Sauvie Island,,1
Knute Buehler,Governor,,REP,Columbia,39 Sauvie Island,,3
Keenen W Bohach,Governor,,REP,Columbia,39 Sauvie Island,,0
Greg C Wooldridge,Governor,,REP,Columbia,39 Sauvie Island,,0
Jonathan I Edwards III,Governor,,REP,Columbia,39 Sauvie Island,,0
David W Stauffer,Governor,,REP,Columbia,39 Sauvie Island,,0
Jeff Smith,Governor,,REP,Columbia,39 Sauvie Island,,0
Jack W Tacy ,Governor,,REP,Columbia,39 Sauvie Island,,0
Brett Hyland,Governor,,REP,Columbia,39 Sauvie Island,,0
Bruce Cuff,Governor,,REP,Columbia,39 Sauvie Island,,0
Sam Carpenter,Governor,,REP,Columbia,39 Sauvie Island,,5
Write In,Governor,,REP,Columbia,39 Sauvie Island,,0
Over votes,Governor,,REP,Columbia,39 Sauvie Island,,0
Under votes,Governor,,REP,Columbia,39 Sauvie Island,,0
Write In,State Senate,16,REP,Columbia,39 Sauvie Island,,1
Over votes,State Senate,16,REP,Columbia,39 Sauvie Island,,0
Under votes,State Senate,16,REP,Columbia,39 Sauvie Island,,7
Brian G Stout,State House,31,REP,Columbia,39 Sauvie Island,,5
Write In,State House,31,REP,Columbia,39 Sauvie Island,,0
Over votes,State House,31,REP,Columbia,39 Sauvie Island,,0
Under votes,State House,31,REP,Columbia,39 Sauvie Island,,3
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,39 Sauvie Island,,4
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,39 Sauvie Island,,7
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,39 Sauvie Island,,3
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,39 Sauvie Island,,0
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,39 Sauvie Island,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,39 Sauvie Island,,4
,Registered Voters,,,Columbia,40 Yankton,,1226
,Registered Voters,,NonPartisan,Columbia,40 Yankton,,372
,Registered Voters,,DEM,Columbia,40 Yankton,,415
,Registered Voters,,IND,Columbia,40 Yankton,,51
,Registered Voters,,REP,Columbia,40 Yankton,,388
,Ballots Cast,,,Columbia,40 Yankton,,439
,Ballots Cast,,NonPartisan,Columbia,40 Yankton,,44
,Ballots Cast,,DEM,Columbia,40 Yankton,,196
,Ballots Cast,,IND,Columbia,40 Yankton,,18
,Ballots Cast,,REP,Columbia,40 Yankton,,181
,Ballots Cast,,Blank,Columbia,40 Yankton,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,40 Yankton,,11
Suzanne Bonamici,U.S. House,1,DEM,Columbia,40 Yankton,,156
Michael E Stansfield,U.S. House,1,DEM,Columbia,40 Yankton,,16
Write In,U.S. House,1,DEM,Columbia,40 Yankton,,5
Over votes,U.S. House,1,DEM,Columbia,40 Yankton,,0
Under votes,U.S. House,1,DEM,Columbia,40 Yankton,,8
Ed Jones,Governor,,DEM,Columbia,40 Yankton,,38
Kate Brown,Governor,,DEM,Columbia,40 Yankton,,115
Candace Neville,Governor,,DEM,Columbia,40 Yankton,,24
Write-Ins,Governor,,DEM,Columbia,40 Yankton,,7
Over votes,Governor,,DEM,Columbia,40 Yankton,,0
Under votes,Governor,,DEM,Columbia,40 Yankton,,12
Betsy Johnson,State Senate,16,DEM,Columbia,40 Yankton,,157
Write In,State Senate,16,DEM,Columbia,40 Yankton,,4
Over votes,State Senate,16,DEM,Columbia,40 Yankton,,0
Under votes,State Senate,16,DEM,Columbia,40 Yankton,,35
Brad Witt,State House,31,DEM,Columbia,40 Yankton,,150
Write In,State House,31,DEM,Columbia,40 Yankton,,5
Over votes,State House,31,DEM,Columbia,40 Yankton,,0
Under votes,State House,31,DEM,Columbia,40 Yankton,,41
Write In,U.S. House,1,IND,Columbia,40 Yankton,,5
Over votes,U.S. House,1,IND,Columbia,40 Yankton,,0
Under votes,U.S. House,1,IND,Columbia,40 Yankton,,13
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,40 Yankton,,0
Skye J Allen,Governor,,IND,Columbia,40 Yankton,,3
Patrick Starnes,Governor,,IND,Columbia,40 Yankton,,4
Write In,Governor,,IND,Columbia,40 Yankton,,6
Over votes,Governor,,IND,Columbia,40 Yankton,,0
Under votes,Governor,,IND,Columbia,40 Yankton,,5
Write In,State Senate,16,IND,Columbia,40 Yankton,,5
Over votes,State Senate,16,IND,Columbia,40 Yankton,,0
Under votes,State Senate,16,IND,Columbia,40 Yankton,,13
Write In,State House,31,IND,Columbia,40 Yankton,,5
Over votes,State House,31,IND,Columbia,40 Yankton,,0
Under votes,State House,31,IND,Columbia,40 Yankton,,13
John Verbeek,U.S. House,1,REP,Columbia,40 Yankton,,71
George Griffith,U.S. House,1,REP,Columbia,40 Yankton,,51
Preston L Miller,U.S. House,1,REP,Columbia,40 Yankton,,18
Write In,U.S. House,1,REP,Columbia,40 Yankton,,2
Over votes,U.S. House,1,REP,Columbia,40 Yankton,,0
Under votes,U.S. House,1,REP,Columbia,40 Yankton,,39
Knute Buehler,Governor,,REP,Columbia,40 Yankton,,52
Keenen W Bohach,Governor,,REP,Columbia,40 Yankton,,1
Greg C Wooldridge,Governor,,REP,Columbia,40 Yankton,,38
Jonathan I Edwards III,Governor,,REP,Columbia,40 Yankton,,2
David W Stauffer,Governor,,REP,Columbia,40 Yankton,,1
Jeff Smith,Governor,,REP,Columbia,40 Yankton,,3
Jack W Tacy ,Governor,,REP,Columbia,40 Yankton,,0
Brett Hyland,Governor,,REP,Columbia,40 Yankton,,1
Bruce Cuff,Governor,,REP,Columbia,40 Yankton,,0
Sam Carpenter,Governor,,REP,Columbia,40 Yankton,,79
Write In,Governor,,REP,Columbia,40 Yankton,,0
Over votes,Governor,,REP,Columbia,40 Yankton,,0
Under votes,Governor,,REP,Columbia,40 Yankton,,4
Write In,State Senate,16,REP,Columbia,40 Yankton,,21
Over votes,State Senate,16,REP,Columbia,40 Yankton,,0
Under votes,State Senate,16,REP,Columbia,40 Yankton,,160
Brian G Stout,State House,31,REP,Columbia,40 Yankton,,112
Write In,State House,31,REP,Columbia,40 Yankton,,3
Over votes,State House,31,REP,Columbia,40 Yankton,,0
Under votes,State House,31,REP,Columbia,40 Yankton,,66
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,40 Yankton,,172
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,40 Yankton,,139
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,40 Yankton,,64
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,40 Yankton,,1
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,40 Yankton,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,40 Yankton,,63
,Registered Voters,,,Columbia,41 City of Vernonia,,1626
,Registered Voters,,NonPartisan,Columbia,41 City of Vernonia,,671
,Registered Voters,,DEM,Columbia,41 City of Vernonia,,422
,Registered Voters,,IND,Columbia,41 City of Vernonia,,73
,Registered Voters,,REP,Columbia,41 City of Vernonia,,460
,Ballots Cast,,,Columbia,41 City of Vernonia,,398
,Ballots Cast,,NonPartisan,Columbia,41 City of Vernonia,,50
,Ballots Cast,,DEM,Columbia,41 City of Vernonia,,164
,Ballots Cast,,IND,Columbia,41 City of Vernonia,,14
,Ballots Cast,,REP,Columbia,41 City of Vernonia,,170
,Ballots Cast,,Blank,Columbia,41 City of Vernonia,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,41 City of Vernonia,,16
Suzanne Bonamici,U.S. House,1,DEM,Columbia,41 City of Vernonia,,119
Michael E Stansfield,U.S. House,1,DEM,Columbia,41 City of Vernonia,,18
Write In,U.S. House,1,DEM,Columbia,41 City of Vernonia,,1
Over votes,U.S. House,1,DEM,Columbia,41 City of Vernonia,,0
Under votes,U.S. House,1,DEM,Columbia,41 City of Vernonia,,10
Ed Jones,Governor,,DEM,Columbia,41 City of Vernonia,,37
Kate Brown,Governor,,DEM,Columbia,41 City of Vernonia,,98
Candace Neville,Governor,,DEM,Columbia,41 City of Vernonia,,17
Write-Ins,Governor,,DEM,Columbia,41 City of Vernonia,,5
Over votes,Governor,,DEM,Columbia,41 City of Vernonia,,0
Under votes,Governor,,DEM,Columbia,41 City of Vernonia,,7
Betsy Johnson,State Senate,16,DEM,Columbia,41 City of Vernonia,,136
Write In,State Senate,16,DEM,Columbia,41 City of Vernonia,,1
Over votes,State Senate,16,DEM,Columbia,41 City of Vernonia,,0
Under votes,State Senate,16,DEM,Columbia,41 City of Vernonia,,27
Brad Witt,State House,31,DEM,Columbia,41 City of Vernonia,,126
Write In,State House,31,DEM,Columbia,41 City of Vernonia,,3
Over votes,State House,31,DEM,Columbia,41 City of Vernonia,,0
Under votes,State House,31,DEM,Columbia,41 City of Vernonia,,35
Write In,U.S. House,1,IND,Columbia,41 City of Vernonia,,4
Over votes,U.S. House,1,IND,Columbia,41 City of Vernonia,,0
Under votes,U.S. House,1,IND,Columbia,41 City of Vernonia,,10
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,41 City of Vernonia,,1
Skye J Allen,Governor,,IND,Columbia,41 City of Vernonia,,3
Patrick Starnes,Governor,,IND,Columbia,41 City of Vernonia,,2
Write In,Governor,,IND,Columbia,41 City of Vernonia,,6
Over votes,Governor,,IND,Columbia,41 City of Vernonia,,0
Under votes,Governor,,IND,Columbia,41 City of Vernonia,,2
Write In,State Senate,16,IND,Columbia,41 City of Vernonia,,4
Over votes,State Senate,16,IND,Columbia,41 City of Vernonia,,0
Under votes,State Senate,16,IND,Columbia,41 City of Vernonia,,10
Write In,State House,31,IND,Columbia,41 City of Vernonia,,6
Over votes,State House,31,IND,Columbia,41 City of Vernonia,,0
Under votes,State House,31,IND,Columbia,41 City of Vernonia,,8
John Verbeek,U.S. House,1,REP,Columbia,41 City of Vernonia,,77
George Griffith,U.S. House,1,REP,Columbia,41 City of Vernonia,,38
Preston L Miller,U.S. House,1,REP,Columbia,41 City of Vernonia,,11
Write In,U.S. House,1,REP,Columbia,41 City of Vernonia,,1
Over votes,U.S. House,1,REP,Columbia,41 City of Vernonia,,0
Under votes,U.S. House,1,REP,Columbia,41 City of Vernonia,,43
Knute Buehler,Governor,,REP,Columbia,41 City of Vernonia,,52
Keenen W Bohach,Governor,,REP,Columbia,41 City of Vernonia,,0
Greg C Wooldridge,Governor,,REP,Columbia,41 City of Vernonia,,35
Jonathan I Edwards III,Governor,,REP,Columbia,41 City of Vernonia,,2
David W Stauffer,Governor,,REP,Columbia,41 City of Vernonia,,0
Jeff Smith,Governor,,REP,Columbia,41 City of Vernonia,,0
Jack W Tacy ,Governor,,REP,Columbia,41 City of Vernonia,,0
Brett Hyland,Governor,,REP,Columbia,41 City of Vernonia,,0
Bruce Cuff,Governor,,REP,Columbia,41 City of Vernonia,,3
Sam Carpenter,Governor,,REP,Columbia,41 City of Vernonia,,75
Write In,Governor,,REP,Columbia,41 City of Vernonia,,0
Over votes,Governor,,REP,Columbia,41 City of Vernonia,,0
Under votes,Governor,,REP,Columbia,41 City of Vernonia,,3
Write In,State Senate,16,REP,Columbia,41 City of Vernonia,,31
Over votes,State Senate,16,REP,Columbia,41 City of Vernonia,,0
Under votes,State Senate,16,REP,Columbia,41 City of Vernonia,,139
Brian G Stout,State House,31,REP,Columbia,41 City of Vernonia,,98
Write In,State House,31,REP,Columbia,41 City of Vernonia,,6
Over votes,State House,31,REP,Columbia,41 City of Vernonia,,0
Under votes,State House,31,REP,Columbia,41 City of Vernonia,,66
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,41 City of Vernonia,,124
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,41 City of Vernonia,,139
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,41 City of Vernonia,,68
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,41 City of Vernonia,,2
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,41 City of Vernonia,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,41 City of Vernonia,,65
,Registered Voters,,,Columbia,44 Rural Vernonia,,932
,Registered Voters,,NonPartisan,Columbia,44 Rural Vernonia,,330
,Registered Voters,,DEM,Columbia,44 Rural Vernonia,,243
,Registered Voters,,IND,Columbia,44 Rural Vernonia,,44
,Registered Voters,,REP,Columbia,44 Rural Vernonia,,315
,Ballots Cast,,,Columbia,44 Rural Vernonia,,292
,Ballots Cast,,NonPartisan,Columbia,44 Rural Vernonia,,38
,Ballots Cast,,DEM,Columbia,44 Rural Vernonia,,101
,Ballots Cast,,IND,Columbia,44 Rural Vernonia,,11
,Ballots Cast,,REP,Columbia,44 Rural Vernonia,,142
,Ballots Cast,,Blank,Columbia,44 Rural Vernonia,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,44 Rural Vernonia,,3
Suzanne Bonamici,U.S. House,1,DEM,Columbia,44 Rural Vernonia,,86
Michael E Stansfield,U.S. House,1,DEM,Columbia,44 Rural Vernonia,,6
Write In,U.S. House,1,DEM,Columbia,44 Rural Vernonia,,2
Over votes,U.S. House,1,DEM,Columbia,44 Rural Vernonia,,0
Under votes,U.S. House,1,DEM,Columbia,44 Rural Vernonia,,4
Ed Jones,Governor,,DEM,Columbia,44 Rural Vernonia,,10
Kate Brown,Governor,,DEM,Columbia,44 Rural Vernonia,,64
Candace Neville,Governor,,DEM,Columbia,44 Rural Vernonia,,18
Write-Ins,Governor,,DEM,Columbia,44 Rural Vernonia,,2
Over votes,Governor,,DEM,Columbia,44 Rural Vernonia,,0
Under votes,Governor,,DEM,Columbia,44 Rural Vernonia,,7
Betsy Johnson,State Senate,16,DEM,Columbia,44 Rural Vernonia,,84
Write In,State Senate,16,DEM,Columbia,44 Rural Vernonia,,3
Over votes,State Senate,16,DEM,Columbia,44 Rural Vernonia,,0
Under votes,State Senate,16,DEM,Columbia,44 Rural Vernonia,,14
Brad Witt,State House,31,DEM,Columbia,44 Rural Vernonia,,81
Write In,State House,31,DEM,Columbia,44 Rural Vernonia,,4
Over votes,State House,31,DEM,Columbia,44 Rural Vernonia,,0
Under votes,State House,31,DEM,Columbia,44 Rural Vernonia,,16
Write In,U.S. House,1,IND,Columbia,44 Rural Vernonia,,2
Over votes,U.S. House,1,IND,Columbia,44 Rural Vernonia,,0
Under votes,U.S. House,1,IND,Columbia,44 Rural Vernonia,,9
Dan (Mr. P) Pistoresi ,Governor,,IND,Columbia,44 Rural Vernonia,,2
Skye J Allen,Governor,,IND,Columbia,44 Rural Vernonia,,1
Patrick Starnes,Governor,,IND,Columbia,44 Rural Vernonia,,2
Write In,Governor,,IND,Columbia,44 Rural Vernonia,,3
Over votes,Governor,,IND,Columbia,44 Rural Vernonia,,0
Under votes,Governor,,IND,Columbia,44 Rural Vernonia,,3
Write In,State Senate,16,IND,Columbia,44 Rural Vernonia,,3
Over votes,State Senate,16,IND,Columbia,44 Rural Vernonia,,0
Under votes,State Senate,16,IND,Columbia,44 Rural Vernonia,,8
Write In,State House,31,IND,Columbia,44 Rural Vernonia,,1
Over votes,State House,31,IND,Columbia,44 Rural Vernonia,,0
Under votes,State House,31,IND,Columbia,44 Rural Vernonia,,10
John Verbeek,U.S. House,1,REP,Columbia,44 Rural Vernonia,,52
George Griffith,U.S. House,1,REP,Columbia,44 Rural Vernonia,,49
Preston L Miller,U.S. House,1,REP,Columbia,44 Rural Vernonia,,8
Write In,U.S. House,1,REP,Columbia,44 Rural Vernonia,,2
Over votes,U.S. House,1,REP,Columbia,44 Rural Vernonia,,0
Under votes,U.S. House,1,REP,Columbia,44 Rural Vernonia,,31
Knute Buehler,Governor,,REP,Columbia,44 Rural Vernonia,,54
Keenen W Bohach,Governor,,REP,Columbia,44 Rural Vernonia,,3
Greg C Wooldridge,Governor,,REP,Columbia,44 Rural Vernonia,,38
Jonathan I Edwards III,Governor,,REP,Columbia,44 Rural Vernonia,,2
David W Stauffer,Governor,,REP,Columbia,44 Rural Vernonia,,0
Jeff Smith,Governor,,REP,Columbia,44 Rural Vernonia,,1
Jack W Tacy ,Governor,,REP,Columbia,44 Rural Vernonia,,1
Brett Hyland,Governor,,REP,Columbia,44 Rural Vernonia,,0
Bruce Cuff,Governor,,REP,Columbia,44 Rural Vernonia,,2
Sam Carpenter,Governor,,REP,Columbia,44 Rural Vernonia,,39
Write In,Governor,,REP,Columbia,44 Rural Vernonia,,1
Over votes,Governor,,REP,Columbia,44 Rural Vernonia,,1
Under votes,Governor,,REP,Columbia,44 Rural Vernonia,,0
Write In,State Senate,16,REP,Columbia,44 Rural Vernonia,,35
Over votes,State Senate,16,REP,Columbia,44 Rural Vernonia,,0
Under votes,State Senate,16,REP,Columbia,44 Rural Vernonia,,107
Brian G Stout,State House,31,REP,Columbia,44 Rural Vernonia,,82
Write In,State House,31,REP,Columbia,44 Rural Vernonia,,6
Over votes,State House,31,REP,Columbia,44 Rural Vernonia,,1
Under votes,State House,31,REP,Columbia,44 Rural Vernonia,,53
Lou Ogden,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,44 Rural Vernonia,,119
Val Hoyle,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,44 Rural Vernonia,,86
Jack Howard,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,44 Rural Vernonia,,38
Write In,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,44 Rural Vernonia,,1
Over votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,44 Rural Vernonia,,0
Under votes,Commissioner of the Bureau of Labor and Industries,,NonPartisan,Columbia,44 Rural Vernonia,,48
,Registered Voters,,,Columbia,46 Apiary,,782
,Registered Voters,,NonPartisan,Columbia,46 Apiary,,280
,Registered Voters,,DEM,Columbia,46 Apiary,,238
,Registered Voters,,IND,Columbia,46 Apiary,,30
,Registered Voters,,REP,Columbia,46 Apiary,,234
,Ballots Cast,,,Columbia,46 Apiary,,259
,Ballots Cast,,NonPartisan,Columbia,46 Apiary,,47
,Ballots Cast,,DEM,Columbia,46 Apiary,,98
,Ballots Cast,,IND,Columbia,46 Apiary,,11
,Ballots Cast,,REP,Columbia,46 Apiary,,103
,Ballots Cast,,Blank,Columbia,46 Apiary,,0
Ricky Barajas ,U.S. House,1,DEM,Columbia,46 Apiary,,2
Suzanne Bonamici,U.S. House,1,DEM,Columbia,46 Apiary,,81
Michael E Stansfield,U.S. House,1,DEM,Columbia,46 Apiary,,5
Write In,U.S. House,1,DEM,Columbia,46 Apiary,,1
Over votes,U.S. House,1,DEM,Columbia,46 Apiary,,0
Under votes,U.S. House,1,DEM,Columbia,46 Apiary,,9
Ed Jones,Governor,,DEM,Columbia,46 Apiary,,13
Kate Brown,Governor,,DEM,Columbia,46 Apiary,,63
Candace Neville,Governor,,DEM,Columbia,46 Apiary,,12
Write-Ins,Governor,,DEM,Columbia,46 Apiary,,3
Over votes,Governor,,DEM,Columbia,46 Apiary,,0
Under votes,Governor,,DEM,Columbia,46 Apiary,,7
Betsy Johnson,State Senate,16,DEM,Columbia,46 Apiary,,79
Write In,State Senate,16,DEM,Columbia,46 Apiary,,1
Over votes,State Senate,16,DEM,Columbia,46 Apiary,,0
