candidate,votes,pct,office,precinct,district,party
James E Leuenberger,15,1.35%,U.S. Senate,413,,
Monica Wehby,449,40.52%,U.S. Senate,413,,
Write-in,11,0.99%,U.S. Senate,413,,
Cast Votes: ,1108,94.70%,U.S. Senate,413,,
Over Votes: ,0,0.00%,U.S. Senate,413,,
Under Votes: ,62,5.30%,U.S. Senate,413,,
Raymond Baldwin,39,3.60%,U.S. House,413,5,
Daniel K Souza,20,1.85%,U.S. House,413,5,
Kurt Schrader,560,51.66%,U.S. House,413,5,
Tootie Smith,419,38.65%,U.S. House,413,5,
Marvin Sannes,39,3.60%,U.S. House,413,5,
Write-in,7,0.65%,U.S. House,413,5,
Cast Votes: ,1084,92.65%,U.S. House,413,5,
Over Votes: ,0,0.00%,U.S. House,413,5,
Under Votes: ,86,7.35%,U.S. House,413,5,
Dennis Richardson,535,47.85%,Governor,413,,
Chris Henry,10,0.89%,Governor,413,,
Aaron Auer,20,1.79%,Governor,413,,
John  Kitzhaber,501,44.81%,Governor,413,,
Paul Grad,23,2.06%,Governor,413,,
Jason  Levin,24,2.15%,Governor,413,,
Write-in,5,0.45%,Governor,413,,
Cast Votes: ,1118,95.56%,Governor,413,,
Over Votes: ,0,0.00%,Governor,413,,
Under Votes: ,52,4.44%,Governor,413,,
Chuck Thomsen,570,54.03%,State Senate,413,26,
Robert R Bruce,473,44.83%,State Senate,413,26,
Write-in,12,1.14%,State Senate,413,26,
Cast Votes: ,1055,90.17%,State Senate,413,26,
Over Votes: ,0,0.00%,State Senate,413,26,
Under Votes: ,115,9.83%,State Senate,413,26,
Jodi Bailey,500,46.30%,State House,413,51,
Shemia Fagan,573,53.06%,State House,413,51,
Write-in,7,0.65%,State House,413,51,
Cast Votes:,1080,92.31%,State House,413,51,
Over Votes:,0,0.00%,State House,413,51,
Under Votes:,90,7.69%,State House,413,51,
Mike Montchalin,20,3.35%,U.S. Senate,414,,
Jeff Merkley,271,45.39%,U.S. Senate,414,,
Christina Jean Lugo,6,1.01%,U.S. Senate,414,,
James E Leuenberger,18,3.02%,U.S. Senate,414,,
Monica Wehby,281,47.07%,U.S. Senate,414,,
Write-in,1,0.17%,U.S. Senate,414,,
Cast Votes: ,597,96.14%,U.S. Senate,414,,
Over Votes: ,0,0.00%,U.S. Senate,414,,
Under Votes: ,24,3.86%,U.S. Senate,414,,
Michael Meo,4,0.70%,U.S. House,414,3,
James Buchal,267,46.68%,U.S. House,414,3,
Earl Blumenauer,280,48.95%,U.S. House,414,3,
Jeffrey J Langan,13,2.27%,U.S. House,414,3,
David Walker,5,0.87%,U.S. House,414,3,
Write-in,3,0.52%,U.S. House,414,3,
Cast Votes: ,572,92.11%,U.S. House,414,3,
Over Votes: ,0,0.00%,U.S. House,414,3,
Under Votes: ,49,7.89%,U.S. House,414,3,
Dennis Richardson,339,56.22%,Governor,414,,
Chris Henry,2,0.33%,Governor,414,,
Aaron Auer,6,1.00%,Governor,414,,
John  Kitzhaber,235,38.97%,Governor,414,,
Paul Grad,9,1.49%,Governor,414,,
Jason  Levin,9,1.49%,Governor,414,,
Write-in,3,0.50%,Governor,414,,
Cast Votes: ,603,97.10%,Governor,414,,
Over Votes: ,0,0.00%,Governor,414,,
Under Votes: ,18,2.90%,Governor,414,,
Chuck Thomsen,364,63.97%,State Senate,414,26,
Robert R Bruce,201,35.33%,State Senate,414,26,
Write-in,4,0.70%,State Senate,414,26,
Cast Votes: ,569,91.63%,State Senate,414,26,
Over Votes: ,0,0.00%,State Senate,414,26,
Under Votes: ,52,8.37%,State Senate,414,26,
Jodi Bailey,312,53.89%,State House,414,51,
Shemia Fagan,263,45.42%,State House,414,51,
Write-in,4,0.69%,State House,414,51,
Cast Votes: ,579,93.24%,State House,414,51,
Over Votes: ,1,0.16%,State House,414,51,
Under Votes: ,41,6.60%,State House,414,51,
Mike Montchalin,2,1.17%,U.S. Senate,415,,
Jeff Merkley,70,40.94%,U.S. Senate,415,,
Christina Jean Lugo,0,0.00%,U.S. Senate,415,,
James E Leuenberger,7,4.09%,U.S. Senate,415,,
Monica Wehby,92,53.80%,U.S. Senate,415,,
Write-in,0,0.00%,U.S. Senate,415,,
Cast Votes: ,171,96.61%,U.S. Senate,415,,
Over Votes: ,0,0.00%,U.S. Senate,415,,
Under Votes: ,6,3.39%,U.S. Senate,415,,
Michael Meo,3,1.84%,U.S. House,415,3,
James Buchal,84,51.53%,U.S. House,415,3,
Earl Blumenauer,71,43.56%,U.S. House,415,3,
Jeffrey J Langan,4,2.45%,U.S. House,415,3,
David Walker,1,0.61%,U.S. House,415,3,
Write-in,0,0.00%,U.S. House,415,3,
Cast Votes: ,163,92.09%,U.S. House,415,3,
Over Votes: ,0,0.00%,U.S. House,415,3,
Under Votes: ,14,7.91%,U.S. House,415,3,
Dennis Richardson,106,63.86%,Governor,415,,
Chris Henry,0,0.00%,Governor,415,,
Aaron Auer,3,1.81%,Governor,415,,
John  Kitzhaber,55,33.13%,Governor,415,,
Paul Grad,0,0.00%,Governor,415,,
Jason  Levin,0,0.00%,Governor,415,,
Write-in,2,1.20%,Governor,415,,
Cast Votes: ,166,93.79%,Governor,415,,
Over Votes: ,0,0.00%,Governor,415,,
Under Votes: ,11,6.21%,Governor,415,,
Chuck Thomsen,103,67.76%,State Senate,415,26,
Robert R Bruce,49,32.24%,State Senate,415,26,
Write-in,0,0.00%,State Senate,415,26,
Cast Votes: ,152,85.88%,State Senate,415,26,
Over Votes: ,0,0.00%,State Senate,415,26,
Under Votes: ,25,14.12%,State Senate,415,26,
Jodi Bailey,90,57.69%,State House,415,51,
Shemia Fagan,66,42.31%,State House,415,51,
Write-in,0,0.00%,State House,415,51,
Cast Votes: ,156,88.14%,State House,415,51,
Over Votes: ,0,0.00%,State House,415,51,
Under Votes: ,21,11.86%,State House,415,51,
Mike Montchalin,62,3.00%,U.S. Senate,416,,
Jeff Merkley,1086,52.46%,U.S. Senate,416,,
Christina Jean Lugo,19,0.92%,U.S. Senate,416,,
James E Leuenberger,30,1.45%,U.S. Senate,416,,
Monica Wehby,860,41.55%,U.S. Senate,416,,
Write-in,13,0.63%,U.S. Senate,416,,
Cast Votes: ,2070,94.78%,U.S. Senate,416,,
Over Votes: ,0,0.00%,U.S. Senate,416,,
Under Votes: ,114,5.22%,U.S. Senate,416,,
Michael Meo,33,1.63%,U.S. House,416,3,
James Buchal,806,39.72%,U.S. House,416,3,
Earl Blumenauer,1114,54.90%,U.S. House,416,3,
Jeffrey J Langan,40,1.97%,U.S. House,416,3,
David Walker,29,1.43%,U.S. House,416,3,
Write-in,7,0.34%,U.S. House,416,3,
Cast Votes: ,2029,92.90%,U.S. House,416,3,
Over Votes: ,1,0.05%,U.S. House,416,3,
Under Votes: ,154,7.05%,U.S. House,416,3,
Dennis Richardson,1026,49.26%,Governor,416,,
Chris Henry,17,0.82%,Governor,416,,
Aaron Auer,23,1.10%,Governor,416,,
John  Kitzhaber,951,45.66%,Governor,416,,
Paul Grad,39,1.87%,Governor,416,,
Jason  Levin,20,0.96%,Governor,416,,
Write-in,7,0.34%,Governor,416,,
Cast Votes: ,2083,95.38%,Governor,416,,
Over Votes: ,0,0.00%,Governor,416,,
Under Votes: ,101,4.62%,Governor,416,,
Chuck Thomsen,1121,56.73%,State Senate,416,26,
Robert R Bruce,847,42.86%,State Senate,416,26,
Write-in,8,0.40%,State Senate,416,26,
Cast Votes: ,1976,90.48%,State Senate,416,26,
Over Votes: ,0,0.00%,State Senate,416,26,
Under Votes: ,208,9.52%,State Senate,416,26,
Jodi Bailey,982,48.04%,State House,416,51,
Shemia Fagan,1056,51.66%,State House,416,51,
Write-in,6,0.29%,State House,416,51,
Cast Votes: ,2044,93.59%,State House,416,51,
Over Votes:,0,0.00%,State House,416,51,
Under Votes: ,140,6.41%,State House,416,51,
Mike Montchalin,1,5.26%,U.S. Senate,417,,
Jeff Merkley,12,63.16%,U.S. Senate,417,,
Christina Jean Lugo,0,0.00%,U.S. Senate,417,,
James E Leuenberger,0,0.00%,U.S. Senate,417,,
Monica Wehby,6,31.58%,U.S. Senate,417,,
Write-in,0,0.00%,U.S. Senate,417,,
Cast Votes: ,19,90.48%,U.S. Senate,417,,
Over Votes: ,0,0.00%,U.S. Senate,417,,
Under Votes: ,2,9.52%,U.S. Senate,417,,
Raymond Baldwin,1,5.00%,U.S. House,417,5,
Daniel K Souza,1,5.00%,U.S. House,417,5,
Kurt Schrader,13,65.00%,U.S. House,417,5,
Tootie Smith,4,20.00%,U.S. House,417,5,
Marvin Sannes,1,5.00%,U.S. House,417,5,
Write-in,0,0.00%,U.S. House,417,5,
Cast Votes: ,20,95.24%,U.S. House,417,5,
Over Votes: ,0,0.00%,U.S. House,417,5,
Under Votes: ,1,4.76%,U.S. House,417,5,
Dennis Richardson,7,36.84%,Governor,417,,
Chris Henry,0,0.00%,Governor,417,,
Aaron Auer,1,5.26%,Governor,417,,
John  Kitzhaber,10,52.63%,Governor,417,,
Paul Grad,1,5.26%,Governor,417,,
Jason  Levin,0,0.00%,Governor,417,,
Write-in,0,0.00%,Governor,417,,
Cast Votes: ,19,90.48%,Governor,417,,
Over Votes: ,0,0.00%,Governor,417,,
Under Votes: ,2,9.52%,Governor,417,,
Alan R Olsen,6,40.00%,State Senate,417,20,
Jamie Damon,9,60.00%,State Senate,417,20,
Write-in,0,0.00%,State Senate,417,20,
Cast Votes: ,15,71.43%,State Senate,417,20,
Over Votes: ,0,0.00%,State Senate,417,20,
Under Votes: ,6,28.57%,State Senate,417,20,
Bill Kennemer ,11,100.00%,State House,417,39,
Write-in ,0,0.00%,State House,417,39,
Cast Votes:,11,52.38%,State House,417,39,
Over Votes:,0,0.00%,State House,417,39,
Under Votes: ,10,47.62%,State House,417,39,
Mike Montchalin,85,3.61%,U.S. Senate,418,,
Jeff Merkley,1310,55.63%,U.S. Senate,418,,
Christina Jean Lugo,57,2.42%,U.S. Senate,418,,
James E Leuenberger,30,1.27%,U.S. Senate,418,,
Monica Wehby,865,36.73%,U.S. Senate,418,,
Write-in,8,0.34%,U.S. Senate,418,,
Cast Votes: ,2355,95.07%,U.S. Senate,418,,
Over Votes: ,1,0.04%,U.S. Senate,418,,
Under Votes: ,121,4.88%,U.S. Senate,418,,
Raymond Baldwin,62,2.73%,U.S. House,418,5,
Daniel K Souza,54,2.38%,U.S. House,418,5,
Kurt Schrader,1290,56.75%,U.S. House,418,5,
Tootie Smith,786,34.58%,U.S. House,418,5,
Marvin Sannes,75,3.30%,U.S. House,418,5,
Write-in,6,0.26%,U.S. House,418,5,
Cast Votes: ,2273,91.76%,U.S. House,418,5,
Over Votes: ,0,0.00%,U.S. House,418,5,
Under Votes: ,204,8.24%,U.S. House,418,5,
Dennis Richardson,1018,42.79%,Governor,418,,
Chris Henry,28,1.18%,Governor,418,,
Aaron Auer,19,0.80%,Governor,418,,
John  Kitzhaber,1212,50.95%,Governor,418,,
Paul Grad,37,1.56%,Governor,418,,
Jason  Levin,52,2.19%,Governor,418,,
Write-in,13,0.55%,Governor,418,,
Cast Votes: ,2379,96.04%,Governor,418,,
Over Votes: ,0,0.00%,Governor,418,,
Under Votes: ,98,3.96%,Governor,418,,
Rod Monroe ,1575,95.69%,State Senate,418,24,
Write-in ,71,4.31%,State Senate,418,24,
Cast Votes: ,1646,66.45%,State Senate,418,24,
Over Votes: ,0,0.00%,State Senate,418,24,
Under Votes: ,831,33.55%,State Senate,418,24,
Jeff Reardon,1366,65.11%,State House,418,48,
Geo (Sonny) W Yellott,716,34.13%,State House,418,48,
Write-in,16,0.76%,State House,418,48,
Cast Votes: ,2098,84.70%,State House,418,48,
Over Votes:,0,0.00%,State House,418,48,
Under Votes:,379,15.30%,State House,418,48,
Mike Montchalin,22,4.14%,U.S. Senate,419,,
Jeff Merkley,283,53.30%,U.S. Senate,419,,
Christina Jean Lugo,14,2.64%,U.S. Senate,419,,
James E Leuenberger,5,0.94%,U.S. Senate,419,,
Monica Wehby,204,38.42%,U.S. Senate,419,,
Write-in,3,0.56%,U.S. Senate,419,,
Cast Votes: ,531,93.98%,U.S. Senate,419,,
Over Votes: ,0,0.00%,U.S. Senate,419,,
Under Votes: ,34,6.02%,U.S. Senate,419,,
Raymond Baldwin,16,3.09%,U.S. House,419,5,
Daniel K Souza,10,1.93%,U.S. House,419,5,
Kurt Schrader,288,55.60%,U.S. House,419,5,
Tootie Smith,195,37.64%,U.S. House,419,5,
Marvin Sannes,9,1.74%,U.S. House,419,5,
Write-in,0,0.00%,U.S. House,419,5,
Cast Votes: ,518,91.68%,U.S. House,419,5,
Over Votes: ,0,0.00%,U.S. House,419,5,
Under Votes: ,47,8.32%,U.S. House,419,5,
Dennis Richardson,268,50.09%,Governor,419,,
Chris Henry,3,0.56%,Governor,419,,
Aaron Auer,3,0.56%,Governor,419,,
John  Kitzhaber,242,45.23%,Governor,419,,
Paul Grad,6,1.12%,Governor,419,,
Jason  Levin,12,2.24%,Governor,419,,
Write-in,1,0.19%,Governor,419,,
Cast Votes: ,535,94.69%,Governor,419,,
Over Votes: ,0,0.00%,Governor,419,,
Under Votes: ,30,5.31%,Governor,419,,
Timothy E McMenamin,254,50.10%,State Senate,419,41,
Kathleen  Taylor,253,49.90%,State Senate,419,41,
Write-in,0,0.00%,State Senate,419,41,
Cast Votes: ,507,89.73%,State Senate,419,41,
Over Votes: ,0,0.00%,State Senate,419,41,
Under Votes: ,58,10.27%,State Senate,419,41,
Mike Montchalin,8,2.19%,U.S. Senate,420,,
Jeff Merkley,224,61.20%,U.S. Senate,420,,
Christina Jean Lugo,22,6.01%,U.S. Senate,420,,
James E Leuenberger,10,2.73%,U.S. Senate,420,,
Monica Wehby,102,27.87%,U.S. Senate,420,,
Write-in,0,0.00%,U.S. Senate,420,,
Cast Votes: ,366,96.06%,U.S. Senate,420,,
Over Votes: ,0,0.00%,U.S. Senate,420,,
Under Votes: ,15,3.94%,U.S. Senate,420,,
Raymond Baldwin,6,1.69%,U.S. House,420,5,
Daniel K Souza,11,3.10%,U.S. House,420,5,
Kurt Schrader,227,63.94%,U.S. House,420,5,
Tootie Smith,96,27.04%,U.S. House,420,5,
Marvin Sannes,15,4.23%,U.S. House,420,5,
Write-in,0,0.00%,U.S. House,420,5,
Cast Votes: ,355,93.18%,U.S. House,420,5,
Over Votes: ,0,0.00%,U.S. House,420,5,
Under Votes: ,26,6.82%,U.S. House,420,5,
Dennis Richardson,134,36.71%,Governor,420,,
Chris Henry,4,1.10%,Governor,420,,
Aaron Auer,1,0.27%,Governor,420,,
John  Kitzhaber,205,56.16%,Governor,420,,
Paul Grad,3,0.82%,Governor,420,,
Jason  Levin,18,4.93%,Governor,420,,
Write-in,0,0.00%,Governor,420,,
Cast Votes: ,365,95.80%,Governor,420,,
Over Votes: ,0,0.00%,Governor,420,,
Under Votes: ,16,4.20%,Governor,420,,
Timothy E McMenamin,136,38.64%,State Senate,420,41,
Kathleen  Taylor,215,61.08%,State Senate,420,41,
Write-in,1,0.28%,State Senate,420,41,
Cast Votes: ,352,92.39%,State Senate,420,41,
Over Votes: ,0,0.00%,State Senate,420,41,
Under Votes: ,29,7.61%,State Senate,420,41,
Mike Montchalin,57,3.24%,U.S. Senate,421,,
Jeff Merkley,984,55.88%,U.S. Senate,421,,
Christina Jean Lugo,29,1.65%,U.S. Senate,421,,
James E Leuenberger,36,2.04%,U.S. Senate,421,,
Monica Wehby,651,36.97%,U.S. Senate,421,,
Write-in,4,0.23%,U.S. Senate,421,,
Cast Votes: ,1761,94.58%,U.S. Senate,421,,
Over Votes: ,0,0.00%,U.S. Senate,421,,
Under Votes: ,101,5.42%,U.S. Senate,421,,
Raymond Baldwin,47,2.72%,U.S. House,421,5,
Daniel K Souza,26,1.50%,U.S. House,421,5,
Kurt Schrader,997,57.60%,U.S. House,421,5,
Tootie Smith,613,35.41%,U.S. House,421,5,
Marvin Sannes,42,2.43%,U.S. House,421,5,
Write-in,6,0.35%,U.S. House,421,5,
Cast Votes: ,1731,92.96%,U.S. House,421,5,
Over Votes: ,0,0.00%,U.S. House,421,5,
Under Votes: ,131,7.04%,U.S. House,421,5,
Dennis Richardson,835,46.86%,Governor,421,,
Chris Henry,12,0.67%,Governor,421,,
Aaron Auer,21,1.18%,Governor,421,,
John  Kitzhaber,863,48.43%,Governor,421,,
Paul Grad,23,1.29%,Governor,421,,
Jason  Levin,18,1.01%,Governor,421,,
Write-in,10,0.56%,Governor,421,,
Cast Votes: ,1782,95.70%,Governor,421,,
Over Votes: ,0,0.00%,Governor,421,,
Under Votes: ,80,4.30%,Governor,421,,
Rod Monroe ,1121,95.24%,State Senate,421,24,
Write-in ,56,4.76%,State Senate,421,24,
Cast Votes: ,1177,63.21%,State Senate,421,24,
Over Votes: ,0,0.00%,State Senate,421,24,
Under Votes: ,685,36.79%,State Senate,421,24,
Jeff Reardon,985,62.82%,State House,421,48,
Geo (Sonny) W Yellott,570,36.35%,State House,421,48,
Write-in,13,0.83%,State House,421,48,
Cast Votes:,1568,84.21%,State House,421,48,
Over Votes:,0,0.00%,State House,421,48,
Under Votes:,294,15.79%,State House,421,48,
Mike Montchalin,103,4.60%,U.S. Senate,422,,
Jeff Merkley,1338,59.73%,U.S. Senate,422,,
Christina Jean Lugo,70,3.13%,U.S. Senate,422,,
James E Leuenberger,39,1.74%,U.S. Senate,422,,
Monica Wehby,657,29.33%,U.S. Senate,422,,
Write-in,33,1.47%,U.S. Senate,422,,
Cast Votes: ,2240,95.85%,U.S. Senate,422,,
Over Votes: ,0,0.00%,U.S. Senate,422,,
Under Votes: ,97,4.15%,U.S. Senate,422,,
Raymond Baldwin,61,2.82%,U.S. House,422,5,
Daniel K Souza,58,2.68%,U.S. House,422,5,
Kurt Schrader,1336,61.82%,U.S. House,422,5,
Tootie Smith,607,28.09%,U.S. House,422,5,
Marvin Sannes,84,3.89%,U.S. House,422,5,
Write-in,15,0.69%,U.S. House,422,5,
Cast Votes: ,2161,92.47%,U.S. House,422,5,
Over Votes: ,0,0.00%,U.S. House,422,5,
Under Votes: ,176,7.53%,U.S. House,422,5,
Dennis Richardson,860,38.43%,Governor,422,,
Chris Henry,34,1.52%,Governor,422,,
Aaron Auer,30,1.34%,Governor,422,,
John  Kitzhaber,1204,53.80%,Governor,422,,
Paul Grad,35,1.56%,Governor,422,,
Jason  Levin,58,2.59%,Governor,422,,
Write-in,17,0.76%,Governor,422,,
Cast Votes: ,2238,95.76%,Governor,422,,
Over Votes: ,1,0.04%,Governor,422,,
Under Votes: ,98,4.19%,Governor,422,,
Rod Monroe ,1487,94.53%,State Senate,422,24,
Write-in ,86,5.47%,State Senate,422,24,
Cast Votes: ,1573,67.31%,State Senate,422,24,
Over Votes: ,0,0.00%,State Senate,422,24,
Under Votes: ,764,32.69%,State Senate,422,24,
Jeff Reardon,1376,68.46%,State House,422,48,
Geo (Sonny) W Yellott,607,30.20%,State House,422,48,
Write-in,27,1.34%,State House,422,48,
Cast Votes:,2010,86.01%,State House,422,48,
Over Votes:,0,0.00%,State House,422,48,
Under Votes: ,327,13.99%,State House,422,48,
Mike Montchalin,0,0.00%,U.S. Senate,423,,
Jeff Merkley,5,38.46%,U.S. Senate,423,,
Christina Jean Lugo,0,0.00%,U.S. Senate,423,,
James E Leuenberger,0,0.00%,U.S. Senate,423,,
Monica Wehby,8,61.54%,U.S. Senate,423,,
Write-in,0,0.00%,U.S. Senate,423,,
Cast Votes: ,13,86.67%,U.S. Senate,423,,
Over Votes: ,0,0.00%,U.S. Senate,423,,
Under Votes: ,2,13.33%,U.S. Senate,423,,
Michael Meo,0,0.00%,U.S. House,423,3,
James Buchal,8,61.54%,U.S. House,423,3,
Earl Blumenauer,5,38.46%,U.S. House,423,3,
Jeffrey J Langan,0,0.00%,U.S. House,423,3,
David Walker,0,0.00%,U.S. House,423,3,
Write-in,0,0.00%,U.S. House,423,3,
Cast Votes: ,13,86.67%,U.S. House,423,3,
Over Votes: ,0,0.00%,U.S. House,423,3,
Under Votes: ,2,13.33%,U.S. House,423,3,
Dennis Richardson,8,57.14%,Governor,423,,
Chris Henry,0,0.00%,Governor,423,,
Aaron Auer,0,0.00%,Governor,423,,
John  Kitzhaber,6,42.86%,Governor,423,,
Paul Grad,0,0.00%,Governor,423,,
Jason  Levin,0,0.00%,Governor,423,,
Write-in,0,0.00%,Governor,423,,
Cast Votes: ,14,93.33%,Governor,423,,
Over Votes: ,0,0.00%,Governor,423,,
Under Votes: ,1,6.67%,Governor,423,,
Rod Monroe ,5,100.00%,State Senate,423,24,
Write-in ,0,0.00%,State Senate,423,24,
Cast Votes: ,5,33.33%,State Senate,423,24,
Over Votes: ,0,0.00%,State Senate,423,24,
Under Votes: ,10,66.67%,State Senate,423,24,
Jeff Reardon,4,40.00%,State House,423,48,
Geo (Sonny) W Yellott,6,60.00%,State House,423,48,
Write-in,0,0.00%,State House,423,48,
Cast Votes: ,10,66.67%,State House,423,48,
Over Votes:,0,0.00%,State House,423,48,
Under Votes:,5,33.33%,State House,423,48,
Mike Montchalin,84,3.57%,U.S. Senate,500,,
Jeff Merkley,1408,59.84%,U.S. Senate,500,,
Christina Jean Lugo,33,1.40%,U.S. Senate,500,,
James E Leuenberger,30,1.27%,U.S. Senate,500,,
Monica Wehby,776,32.98%,U.S. Senate,500,,
Write-in,22,0.93%,U.S. Senate,500,,
Cast Votes: ,2353,95.19%,U.S. Senate,500,,
Over Votes: ,0,0.00%,U.S. Senate,500,,
Under Votes: ,119,4.81%,U.S. Senate,500,,
Raymond Baldwin,48,2.08%,U.S. House,500,5,
Daniel K Souza,52,2.25%,U.S. House,500,5,
Kurt Schrader,1381,59.84%,U.S. House,500,5,
Tootie Smith,760,32.93%,U.S. House,500,5,
Marvin Sannes,59,2.56%,U.S. House,500,5,
Write-in,8,0.35%,U.S. House,500,5,
Cast Votes: ,2308,93.37%,U.S. House,500,5,
Over Votes: ,0,0.00%,U.S. House,500,5,
Under Votes: ,164,6.63%,U.S. House,500,5,
Dennis Richardson,1002,42.21%,Governor,500,,
Chris Henry,29,1.22%,Governor,500,,
Aaron Auer,21,0.88%,Governor,500,,
John  Kitzhaber,1233,51.94%,Governor,500,,
Paul Grad,32,1.35%,Governor,500,,
Jason  Levin,37,1.56%,Governor,500,,
Write-in,20,0.84%,Governor,500,,
Cast Votes: ,2374,96.04%,Governor,500,,
Over Votes: ,0,0.00%,Governor,500,,
Under Votes: ,98,3.96%,Governor,500,,
Timothy E McMenamin,983,44.10%,State Senate,500,41,
Kathleen Taylor,1237,55.50%,State Senate,500,41,
Write-in,9,0.40%,State Senate,500,41,
Cast Votes: ,2229,90.17%,State Senate,500,41,
Over Votes: ,0,0.00%,State Senate,500,41,
Under Votes: ,243,9.83%,State Senate,500,41,
Mike Montchalin,60,3.03%,U.S. Senate,501,,
Jeff Merkley,1302,65.86%,U.S. Senate,501,,
Christina Jean Lugo,46,2.33%,U.S. Senate,501,,
James E Leuenberger,24,1.21%,U.S. Senate,501,,
Monica Wehby,533,26.96%,U.S. Senate,501,,
Write-in,12,0.61%,U.S. Senate,501,,
Cast Votes: ,1977,96.35%,U.S. Senate,501,,
Over Votes: ,0,0.00%,U.S. Senate,501,,
Under Votes: ,75,3.65%,U.S. Senate,501,,
Raymond Baldwin,40,2.06%,U.S. House,501,5,
Daniel K Souza,41,2.11%,U.S. House,501,5,
Kurt Schrader,1308,67.42%,U.S. House,501,5,
Tootie Smith,504,25.98%,U.S. House,501,5,
Marvin Sannes,41,2.11%,U.S. House,501,5,
Write-in,6,0.31%,U.S. House,501,5,
Cast Votes: ,1940,94.54%,U.S. House,501,5,
Over Votes: ,0,0.00%,U.S. House,501,5,
Under Votes: ,112,5.46%,U.S. House,501,5,
Dennis Richardson,680,34.59%,Governor,501,,
Chris Henry,22,1.12%,Governor,501,,
Aaron Auer,13,0.66%,Governor,501,,
John  Kitzhaber,1173,59.66%,Governor,501,,
Paul Grad,27,1.37%,Governor,501,,
Jason  Levin,39,1.98%,Governor,501,,
Write-in,12,0.61%,Governor,501,,
Cast Votes: ,1966,95.81%,Governor,501,,
Over Votes: ,0,0.00%,Governor,501,,
Under Votes: ,86,4.19%,Governor,501,,
Timothy E McMenamin,670,35.43%,State Senate,501,41,
Kathleen Taylor,1213,64.15%,State Senate,501,41,
Write-in,8,0.42%,State Senate,501,41,
Cast Votes: ,1891,92.15%,State Senate,501,41,
Over Votes: ,0,0.00%,State Senate,501,41,
Under Votes: ,161,7.85%,State Senate,501,41,
Mike Montchalin,90,3.56%,U.S. Senate,502,,
Jeff Merkley,1575,62.28%,U.S. Senate,502,,
Christina Jean Lugo,55,2.17%,U.S. Senate,502,,
James E Leuenberger,30,1.19%,U.S. Senate,502,,
Monica Wehby,764,30.21%,U.S. Senate,502,,
Write-in,15,0.59%,U.S. Senate,502,,
Cast Votes: ,2529,95.61%,U.S. Senate,502,,
Over Votes: ,0,0.00%,U.S. Senate,502,,
Under Votes: ,116,4.39%,U.S. Senate,502,,
Raymond Baldwin,50,2.01%,U.S. House,502,5,
Daniel K Souza,53,2.14%,U.S. House,502,5,
Kurt Schrader,1574,63.42%,U.S. House,502,5,
Tootie Smith,728,29.33%,U.S. House,502,5,
Marvin Sannes,69,2.78%,U.S. House,502,5,
Write-in,8,0.32%,U.S. House,502,5,
Cast Votes: ,2482,93.84%,U.S. House,502,5,
Over Votes: ,0,0.00%,U.S. House,502,5,
Under Votes: ,163,6.16%,U.S. House,502,5,
Dennis Richardson,943,37.24%,Governor,502,,
Chris Henry,21,0.83%,Governor,502,,
Aaron Auer,23,0.91%,Governor,502,,
John  Kitzhaber,1444,57.03%,Governor,502,,
Paul Grad,37,1.46%,Governor,502,,
Jason  Levin,49,1.94%,Governor,502,,
Write-in,15,0.59%,Governor,502,,
Cast Votes: ,2532,95.73%,Governor,502,,
Over Votes: ,0,0.00%,Governor,502,,
Under Votes: ,113,4.27%,Governor,502,,
Timothy E McMenamin,927,39.21%,State Senate,502,41,
Kathleen Taylor,1425,60.28%,State Senate,502,41,
Write-in,12,0.51%,State Senate,502,41,
Cast Votes: ,2364,89.38%,State Senate,502,41,
Over Votes: ,0,0.00%,State Senate,502,41,
Under Votes: ,281,10.62%,State Senate,502,41,
Mike Montchalin,66,2.62%,U.S. Senate,503,,
Jeff Merkley,1429,56.73%,U.S. Senate,503,,
Christina Jean Lugo,26,1.03%,U.S. Senate,503,,
James E Leuenberger,30,1.19%,U.S. Senate,503,,
Monica Wehby,953,37.83%,U.S. Senate,503,,
Write-in,15,0.60%,U.S. Senate,503,,
Cast Votes: ,2519,95.34%,U.S. Senate,503,,
Over Votes: ,0,0.00%,U.S. Senate,503,,
Under Votes: ,123,4.66%,U.S. Senate,503,,
Raymond Baldwin,44,1.77%,U.S. House,503,5,
Daniel K Souza,34,1.37%,U.S. House,503,5,
Kurt Schrader,1478,59.45%,U.S. House,503,5,
Tootie Smith,888,35.72%,U.S. House,503,5,
Marvin Sannes,37,1.49%,U.S. House,503,5,
Write-in,5,0.20%,U.S. House,503,5,
Cast Votes: ,2486,94.10%,U.S. House,503,5,
Over Votes: ,1,0.04%,U.S. House,503,5,
Under Votes: ,155,5.87%,U.S. House,503,5,
Dennis Richardson,1187,46.75%,Governor,503,,
Chris Henry,18,0.71%,Governor,503,,
Aaron Auer,16,0.63%,Governor,503,,
John  Kitzhaber,1251,49.27%,Governor,503,,
Paul Grad,29,1.14%,Governor,503,,
Jason  Levin,27,1.06%,Governor,503,,
Write-in,11,0.43%,Governor,503,,
Cast Votes: ,2539,96.10%,Governor,503,,
Over Votes: ,0,0.00%,Governor,503,,
Under Votes: ,103,3.90%,Governor,503,,
Alan R Olsen,1100,45.80%,State Senate,503,20,
Jamie Damon,1296,53.96%,State Senate,503,20,
