county,candidate,votes,office,party,district
Gilliam,Misc.,1,Court of Appeals position 11,,
Grant,Misc.,8,Court of Appeals position 11,,
Harney,Misc.,16,Court of Appeals position 11,,
Hood River,Misc.,22,Court of Appeals position 11,,
Jackson,Misc.,95,Court of Appeals position 11,,
Jefferson,Misc.,13,Court of Appeals position 11,,
Josephine,Misc.,88,Court of Appeals position 11,,
Klamath,Misc.,64,Court of Appeals position 11,,
Lake,Misc.,13,Court of Appeals position 11,,
Lane,Misc.,343,Court of Appeals position 11,,
Lincoln,Misc.,38,Court of Appeals position 11,,
Linn,Misc.,139,Court of Appeals position 11,,
Malheur,Misc.,14,Court of Appeals position 11,,
Marion,Misc.,248,Court of Appeals position 11,,
Morrow,Misc.,16,Court of Appeals position 11,,
Multnomah,Misc.,585,Court of Appeals position 11,,
Polk,Misc.,58,Court of Appeals position 11,,
Sherman,Misc.,1,Court of Appeals position 11,,
Tillamook,Misc.,25,Court of Appeals position 11,,
Umatilla,Misc.,42,Court of Appeals position 11,,
Union,Misc.,42,Court of Appeals position 11,,
Wallowa,Misc.,7,Court of Appeals position 11,,
Wasco,Misc.,30,Court of Appeals position 11,,
Washington,Misc.,489,Court of Appeals position 11,,
Wheeler,Misc.,1,Court of Appeals position 11,,
Yamhill,Misc.,72,Court of Appeals position 11,,
Total,Misc.,3363,Court of Appeals position 11,,
Baker,Erin C Lagesen,3811,Court of Appeals position 12,,
Benton,Erin C Lagesen,19623,Court of Appeals position 12,,
Clackamas,Erin C Lagesen,79175,Court of Appeals position 12,,
Clatsop,Erin C Lagesen,9315,Court of Appeals position 12,,
Columbia,Erin C Lagesen,12178,Court of Appeals position 12,,
Coos,Erin C Lagesen,12655,Court of Appeals position 12,,
Crook,Erin C Lagesen,5441,Court of Appeals position 12,,
Curry,Erin C Lagesen,5486,Court of Appeals position 12,,
Deschutes,Erin C Lagesen,42737,Court of Appeals position 12,,
Douglas,Erin C Lagesen,21240,Court of Appeals position 12,,
Gilliam,Erin C Lagesen,481,Court of Appeals position 12,,
Grant,Erin C Lagesen,1738,Court of Appeals position 12,,
Harney,Erin C Lagesen,1919,Court of Appeals position 12,,
Hood River,Erin C Lagesen,5074,Court of Appeals position 12,,
Jackson,Erin C Lagesen,43918,Court of Appeals position 12,,
Jefferson,Erin C Lagesen,4092,Court of Appeals position 12,,
Josephine,Erin C Lagesen,17465,Court of Appeals position 12,,
Klamath,Erin C Lagesen,13568,Court of Appeals position 12,,
Lake,Erin C Lagesen,1570,Court of Appeals position 12,,
Lane,Erin C Lagesen,67852,Court of Appeals position 12,,
Lincoln,Erin C Lagesen,13129,Court of Appeals position 12,,
Linn,Erin C Lagesen,23233,Court of Appeals position 12,,
Malheur,Erin C Lagesen,4212,Court of Appeals position 12,,
Marion,Erin C Lagesen,53014,Court of Appeals position 12,,
Morrow,Erin C Lagesen,2011,Court of Appeals position 12,,
Multnomah,Erin C Lagesen,162764,Court of Appeals position 12,,
Polk,Erin C Lagesen,16922,Court of Appeals position 12,,
Sherman,Erin C Lagesen,476,Court of Appeals position 12,,
Tillamook,Erin C Lagesen,6404,Court of Appeals position 12,,
Umatilla,Erin C Lagesen,10492,Court of Appeals position 12,,
Union,Erin C Lagesen,6405,Court of Appeals position 12,,
Wallowa,Erin C Lagesen,2283,Court of Appeals position 12,,
Wasco,Erin C Lagesen,5237,Court of Appeals position 12,,
Washington,Erin C Lagesen,108335,Court of Appeals position 12,,
Wheeler,Erin C Lagesen,422,Court of Appeals position 12,,
Yamhill,Erin C Lagesen,19554,Court of Appeals position 12,,
Total,Erin C Lagesen,804231,Court of Appeals position 12,,
Baker,Misc.,29,Court of Appeals position 12,,
Benton,Misc.,185,Court of Appeals position 12,,
Clackamas,Misc.,852,Court of Appeals position 12,,
Clatsop,Misc.,91,Court of Appeals position 12,,
Columbia,Misc.,198,Court of Appeals position 12,,
Coos,Misc.,129,Court of Appeals position 12,,
Crook,Misc.,40,Court of Appeals position 12,,
Curry,Misc.,32,Court of Appeals position 12,,
Deschutes,Misc.,275,Court of Appeals position 12,,
Douglas,Misc.,357,Court of Appeals position 12,,
Gilliam,Misc.,3,Court of Appeals position 12,,
Grant,Misc.,18,Court of Appeals position 12,,
Harney,Misc.,39,Court of Appeals position 12,,
Hood River,Misc.,48,Court of Appeals position 12,,
Jackson,Misc.,254,Court of Appeals position 12,,
Jefferson,Misc.,46,Court of Appeals position 12,,
Josephine,Misc.,251,Court of Appeals position 12,,
Klamath,Misc.,158,Court of Appeals position 12,,
Lake,Misc.,23,Court of Appeals position 12,,
Lane,Misc.,868,Court of Appeals position 12,,
Lincoln,Misc.,106,Court of Appeals position 12,,
Linn,Misc.,381,Court of Appeals position 12,,
Malheur,Misc.,40,Court of Appeals position 12,,
Marion,Misc.,646,Court of Appeals position 12,,
Morrow,Misc.,26,Court of Appeals position 12,,
Multnomah,Misc.,1474,Court of Appeals position 12,,
Polk,Misc.,203,Court of Appeals position 12,,
Sherman,Misc.,3,Court of Appeals position 12,,
Tillamook,Misc.,53,Court of Appeals position 12,,
Umatilla,Misc.,100,Court of Appeals position 12,,
Union,Misc.,91,Court of Appeals position 12,,
Wallowa,Misc.,15,Court of Appeals position 12,,
Wasco,Misc.,66,Court of Appeals position 12,,
Washington,Misc.,1255,Court of Appeals position 12,,
Wheeler,Misc.,4,Court of Appeals position 12,,
Yamhill,Misc.,236,Court of Appeals position 12,,
Total,Misc.,8595,Court of Appeals position 12,,
Baker,Doug Tookey,3762,Court of Appeals position 13,,
Benton,Doug Tookey,19268,Court of Appeals position 13,,
Clackamas,Doug Tookey,78238,Court of Appeals position 13,,
Clatsop,Doug Tookey,9278,Court of Appeals position 13,,
Columbia,Doug Tookey,12023,Court of Appeals position 13,,
Coos,Doug Tookey,12518,Court of Appeals position 13,,
Crook,Doug Tookey,5404,Court of Appeals position 13,,
Curry,Doug Tookey,5371,Court of Appeals position 13,,
Deschutes,Doug Tookey,42277,Court of Appeals position 13,,
Douglas,Doug Tookey,21021,Court of Appeals position 13,,
Gilliam,Doug Tookey,477,Court of Appeals position 13,,
Grant,Doug Tookey,1716,Court of Appeals position 13,,
Harney,Doug Tookey,1894,Court of Appeals position 13,,
Hood River,Doug Tookey,5028,Court of Appeals position 13,,
Jackson,Doug Tookey,43205,Court of Appeals position 13,,
Jefferson,Doug Tookey,4052,Court of Appeals position 13,,
Josephine,Doug Tookey,17270,Court of Appeals position 13,,
Klamath,Doug Tookey,13396,Court of Appeals position 13,,
Lake,Doug Tookey,1568,Court of Appeals position 13,,
Lane,Doug Tookey,66869,Court of Appeals position 13,,
Lincoln,Doug Tookey,12973,Court of Appeals position 13,,
Linn,Doug Tookey,22990,Court of Appeals position 13,,
Malheur,Doug Tookey,4187,Court of Appeals position 13,,
Marion,Doug Tookey,52794,Court of Appeals position 13,,
Morrow,Doug Tookey,1981,Court of Appeals position 13,,
Multnomah,Doug Tookey,159326,Court of Appeals position 13,,
Polk,Doug Tookey,16748,Court of Appeals position 13,,
Sherman,Doug Tookey,480,Court of Appeals position 13,,
Tillamook,Doug Tookey,6350,Court of Appeals position 13,,
Umatilla,Doug Tookey,10444,Court of Appeals position 13,,
Union,Doug Tookey,6367,Court of Appeals position 13,,
Wallowa,Doug Tookey,2283,Court of Appeals position 13,,
Wasco,Doug Tookey,5181,Court of Appeals position 13,,
Washington,Doug Tookey,107000,Court of Appeals position 13,,
Wheeler,Doug Tookey,418,Court of Appeals position 13,,
Yamhill,Doug Tookey,19376,Court of Appeals position 13,,
Total,Doug Tookey,793533,Court of Appeals position 13,,
Baker,Misc.,33,Court of Appeals position 13,,
Benton,Misc.,195,Court of Appeals position 13,,
Clackamas,Misc.,949,Court of Appeals position 13,,
Clatsop,Misc.,87,Court of Appeals position 13,,
Columbia,Misc.,203,Court of Appeals position 13,,
Coos,Misc.,125,Court of Appeals position 13,,
Crook,Misc.,51,Court of Appeals position 13,,
Curry,Misc.,37,Court of Appeals position 13,,
Deschutes,Misc.,307,Court of Appeals position 13,,
Douglas,Misc.,375,Court of Appeals position 13,,
Gilliam,Misc.,2,Court of Appeals position 13,,
Grant,Misc.,14,Court of Appeals position 13,,
Harney,Misc.,40,Court of Appeals position 13,,
Hood River,Misc.,48,Court of Appeals position 13,,
Jackson,Misc.,270,Court of Appeals position 13,,
Jefferson,Misc.,54,Court of Appeals position 13,,
Josephine,Misc.,247,Court of Appeals position 13,,
Klamath,Misc.,184,Court of Appeals position 13,,
Lake,Misc.,26,Court of Appeals position 13,,
Lane,Misc.,920,Court of Appeals position 13,,
Lincoln,Misc.,108,Court of Appeals position 13,,
Linn,Misc.,415,Court of Appeals position 13,,
Malheur,Misc.,38,Court of Appeals position 13,,
Marion,Misc.,723,Court of Appeals position 13,,
Morrow,Misc.,36,Court of Appeals position 13,,
Multnomah,Misc.,2184,Court of Appeals position 13,,
Polk,Misc.,221,Court of Appeals position 13,,
Sherman,Misc.,3,Court of Appeals position 13,,
Tillamook,Misc.,56,Court of Appeals position 13,,
Umatilla,Misc.,103,Court of Appeals position 13,,
Union,Misc.,88,Court of Appeals position 13,,
Wallowa,Misc.,23,Court of Appeals position 13,,
Wasco,Misc.,94,Court of Appeals position 13,,
Washington,Misc.,1351,Court of Appeals position 13,,
Wheeler,Misc.,4,Court of Appeals position 13,,
Yamhill,Misc.,222,Court of Appeals position 13,,
Total,Misc.,9836,Court of Appeals position 13,,
Baker,Thomas A Balmer,2876,Supreme Court,,
Benton,Thomas A Balmer,18280,Supreme Court,,
Clackamas,Thomas A Balmer,73245,Supreme Court,,
Clatsop,Thomas A Balmer,8026,Supreme Court,,
Columbia,Thomas A Balmer,9710,Supreme Court,,
Coos,Thomas A Balmer,10165,Supreme Court,,
Crook,Thomas A Balmer,4054,Supreme Court,,
Curry,Thomas A Balmer,4495,Supreme Court,,
Deschutes,Thomas A Balmer,37723,Supreme Court,,
Douglas,Thomas A Balmer,15988,Supreme Court,,
Gilliam,Thomas A Balmer,384,Supreme Court,,
Grant,Thomas A Balmer,1278,Supreme Court,,
Harney,Thomas A Balmer,1464,Supreme Court,,
Hood River,Thomas A Balmer,4595,Supreme Court,,
Jackson,Thomas A Balmer,37756,Supreme Court,,
Jefferson,Thomas A Balmer,3171,Supreme Court,,
Josephine,Thomas A Balmer,14163,Supreme Court,,
Klamath,Thomas A Balmer,10315,Supreme Court,,
Lake,Thomas A Balmer,1223,Supreme Court,,
Lane,Thomas A Balmer,65580,Supreme Court,,
Lincoln,Thomas A Balmer,11260,Supreme Court,,
Linn,Thomas A Balmer,18031,Supreme Court,,
Malheur,Thomas A Balmer,2963,Supreme Court,,
Marion,Thomas A Balmer,43271,Supreme Court,,
Morrow,Thomas A Balmer,1529,Supreme Court,,
Multnomah,Thomas A Balmer,170838,Supreme Court,,
Polk,Thomas A Balmer,13446,Supreme Court,,
Sherman,Thomas A Balmer,382,Supreme Court,,
Tillamook,Thomas A Balmer,5631,Supreme Court,,
Umatilla,Thomas A Balmer,8205,Supreme Court,,
Union,Thomas A Balmer,4934,Supreme Court,,
Wallowa,Thomas A Balmer,1827,Supreme Court,,
Wasco,Thomas A Balmer,4167,Supreme Court,,
Washington,Thomas A Balmer,99478,Supreme Court,,
Wheeler,Thomas A Balmer,328,Supreme Court,,
Yamhill,Thomas A Balmer,16640,Supreme Court,,
Total,Thomas A Balmer,727421,Supreme Court,,
Baker,Van Pounds,1767,Supreme Court,,
Benton,Van Pounds,5423,Supreme Court,,
Clackamas,Van Pounds,33033,Supreme Court,,
Clatsop,Van Pounds,3332,Supreme Court,,
Columbia,Van Pounds,5549,Supreme Court,,
Coos,Van Pounds,6291,Supreme Court,,
Crook,Van Pounds,2553,Supreme Court,,
Curry,Van Pounds,2397,Supreme Court,,
Deschutes,Van Pounds,14011,Supreme Court,,
Douglas,Van Pounds,10300,Supreme Court,,
Gilliam,Van Pounds,186,Supreme Court,,
Grant,Van Pounds,870,Supreme Court,,
Harney,Van Pounds,924,Supreme Court,,
Hood River,Van Pounds,1532,Supreme Court,,
Jackson,Van Pounds,17486,Supreme Court,,
Jefferson,Van Pounds,1695,Supreme Court,,
Josephine,Van Pounds,8092,Supreme Court,,
Klamath,Van Pounds,6292,Supreme Court,,
Lake,Van Pounds,774,Supreme Court,,
Lane,Van Pounds,25696,Supreme Court,,
Lincoln,Van Pounds,4565,Supreme Court,,
Linn,Van Pounds,11433,Supreme Court,,
Malheur,Van Pounds,2023,Supreme Court,,
Marion,Van Pounds,24273,Supreme Court,,
Morrow,Van Pounds,886,Supreme Court,,
Multnomah,Van Pounds,37758,Supreme Court,,
Polk,Van Pounds,7501,Supreme Court,,
Sherman,Van Pounds,208,Supreme Court,,
Tillamook,Van Pounds,2345,Supreme Court,,
Umatilla,Van Pounds,4692,Supreme Court,,
Union,Van Pounds,2901,Supreme Court,,
Wallowa,Van Pounds,984,Supreme Court,,
Wasco,Van Pounds,2334,Supreme Court,,
Washington,Van Pounds,36079,Supreme Court,,
Wheeler,Van Pounds,198,Supreme Court,,
Yamhill,Van Pounds,9504,Supreme Court,,
Total,Van Pounds,295887,Supreme Court,,
Baker,Misc.,13,Supreme Court,,
Benton,Misc.,88,Supreme Court,,
Clackamas,Misc.,299,Supreme Court,,
Clatsop,Misc.,38,Supreme Court,,
Columbia,Misc.,84,Supreme Court,,
Coos,Misc.,64,Supreme Court,,
Crook,Misc.,27,Supreme Court,,
Curry,Misc.,16,Supreme Court,,
Deschutes,Misc.,119,Supreme Court,,
Douglas,Misc.,152,Supreme Court,,
Gilliam,Misc.,1,Supreme Court,,
Grant,Misc.,8,Supreme Court,,
Harney,Misc.,17,Supreme Court,,
Hood River,Misc.,22,Supreme Court,,
Jackson,Misc.,107,Supreme Court,,
Jefferson,Misc.,13,Supreme Court,,
Josephine,Misc.,112,Supreme Court,,
Klamath,Misc.,56,Supreme Court,,
Lake,Misc.,11,Supreme Court,,
Lane,Misc.,368,Supreme Court,,
Lincoln,Misc.,43,Supreme Court,,
Linn,Misc.,154,Supreme Court,,
Malheur,Misc.,12,Supreme Court,,
Marion,Misc.,269,Supreme Court,,
Morrow,Misc.,22,Supreme Court,,
Multnomah,Misc.,710,Supreme Court,,
Polk,Misc.,69,Supreme Court,,
Sherman,Misc.,1,Supreme Court,,
Tillamook,Misc.,26,Supreme Court,,
Umatilla,Misc.,46,Supreme Court,,
Union,Misc.,37,Supreme Court,,
Wallowa,Misc.,6,Supreme Court,,
Wasco,Misc.,20,Supreme Court,,
Washington,Misc.,528,Supreme Court,,
Wheeler,Misc.,3,Supreme Court,,
Yamhill,Misc.,77,Supreme Court,,
Total,Misc.,3638,Supreme Court,,
Baker,Martha Walters,3913,Supreme Court,,
Benton,Martha Walters,20327,Supreme Court,,
Clackamas,Martha Walters,81903,Supreme Court,,
Clatsop,Martha Walters,9533,Supreme Court,,
Columbia,Martha Walters,12469,Supreme Court,,
Coos,Martha Walters,13145,Supreme Court,,
Crook,Martha Walters,5526,Supreme Court,,
Curry,Martha Walters,5603,Supreme Court,,
Deschutes,Martha Walters,43481,Supreme Court,,
Douglas,Martha Walters,21697,Supreme Court,,
Gilliam,Martha Walters,477,Supreme Court,,
Grant,Martha Walters,1777,Supreme Court,,
Harney,Martha Walters,1927,Supreme Court,,
Hood River,Martha Walters,5249,Supreme Court,,
Jackson,Martha Walters,44886,Supreme Court,,
Jefferson,Martha Walters,4141,Supreme Court,,
Josephine,Martha Walters,17918,Supreme Court,,
Klamath,Martha Walters,13658,Supreme Court,,
Lake,Martha Walters,1637,Supreme Court,,
Lane,Martha Walters,72019,Supreme Court,,
Lincoln,Martha Walters,13504,Supreme Court,,
Linn,Martha Walters,23459,Supreme Court,,
Malheur,Martha Walters,4242,Supreme Court,,
Marion,Martha Walters,54358,Supreme Court,,
Morrow,Martha Walters,2024,Supreme Court,,
Multnomah,Martha Walters,168402,Supreme Court,,
Polk,Martha Walters,17345,Supreme Court,,
Sherman,Martha Walters,490,Supreme Court,,
Tillamook,Martha Walters,6541,Supreme Court,,
Umatilla,Martha Walters,10770,Supreme Court,,
Union,Martha Walters,6445,Supreme Court,,
Wallowa,Martha Walters,2333,Supreme Court,,
Wasco,Martha Walters,5315,Supreme Court,,
Washington,Martha Walters,111224,Supreme Court,,
Wheeler,Martha Walters,437,Supreme Court,,
Yamhill,Martha Walters,20154,Supreme Court,,
Total,Martha Walters,828329,Supreme Court,,
Baker,Misc.,52,Supreme Court,,
Benton,Misc.,222,Supreme Court,,
Clackamas,Misc.,1024,Supreme Court,,
Clatsop,Misc.,95,Supreme Court,,
Columbia,Misc.,232,Supreme Court,,
Coos,Misc.,180,Supreme Court,,
Crook,Misc.,67,Supreme Court,,
Curry,Misc.,47,Supreme Court,,
Deschutes,Misc.,370,Supreme Court,,
Douglas,Misc.,449,Supreme Court,,
Gilliam,Misc.,4,Supreme Court,,
Grant,Misc.,25,Supreme Court,,
Harney,Misc.,52,Supreme Court,,
Hood River,Misc.,49,Supreme Court,,
Jackson,Misc.,346,Supreme Court,,
Jefferson,Misc.,56,Supreme Court,,
Josephine,Misc.,296,Supreme Court,,
Klamath,Misc.,215,Supreme Court,,
Lake,Misc.,25,Supreme Court,,
Lane,Misc.,1016,Supreme Court,,
Lincoln,Misc.,133,Supreme Court,,
Linn,Misc.,472,Supreme Court,,
Malheur,Misc.,36,Supreme Court,,
Marion,Misc.,837,Supreme Court,,
Morrow,Misc.,40,Supreme Court,,
Multnomah,Misc.,1809,Supreme Court,,
Polk,Misc.,278,Supreme Court,,
Sherman,Misc.,5,Supreme Court,,
Tillamook,Misc.,63,Supreme Court,,
Umatilla,Misc.,137,Supreme Court,,
Union,Misc.,120,Supreme Court,,
Wallowa,Misc.,19,Supreme Court,,
Wasco,Misc.,67,Supreme Court,,
Washington,Misc.,1482,Supreme Court,,
Wheeler,Misc.,4,Supreme Court,,
Yamhill,Misc.,301,Supreme Court,,
Total,Misc.,10625,Supreme Court,,
Baker,Michael Cross,2549,Attorney General,R,
Benton,Michael Cross,4840,Attorney General,R,
Clackamas,Michael Cross,29317,Attorney General,R,
Clatsop,Michael Cross,2886,Attorney General,R,
Columbia,Michael Cross,4503,Attorney General,R,
Coos,Michael Cross,6004,Attorney General,R,
Crook,Michael Cross,3583,Attorney General,R,
Curry,Michael Cross,2585,Attorney General,R,
Deschutes,Michael Cross,17934,Attorney General,R,
Douglas,Michael Cross,12754,Attorney General,R,
Gilliam,Michael Cross,297,Attorney General,R,
Grant,Michael Cross,1212,Attorney General,R,
Harney,Michael Cross,1304,Attorney General,R,
Hood River,Michael Cross,1383,Attorney General,R,
Jackson,Michael Cross,19847,Attorney General,R,
Jefferson,Michael Cross,2220,Attorney General,R,
Josephine,Michael Cross,9745,Attorney General,R,
Klamath,Michael Cross,8371,Attorney General,R,
Lake,Michael Cross,1227,Attorney General,R,
Lane,Michael Cross,20964,Attorney General,R,
Lincoln,Michael Cross,3856,Attorney General,R,
Linn,Michael Cross,12578,Attorney General,R,
Malheur,Michael Cross,2835,Attorney General,R,
Marion,Michael Cross,24452,Attorney General,R,
Morrow,Michael Cross,1130,Attorney General,R,
Multnomah,Michael Cross,19457,Attorney General,R,
Polk,Michael Cross,8070,Attorney General,R,
Sherman,Michael Cross,307,Attorney General,R,
Tillamook,Michael Cross,2367,Attorney General,R,
Umatilla,Michael Cross,5848,Attorney General,R,
Union,Michael Cross,3771,Attorney General,R,
Wallowa,Michael Cross,1351,Attorney General,R,
Wasco,Michael Cross,2063,Attorney General,R,
Washington,Michael Cross,29241,Attorney General,R,
Wheeler,Michael Cross,276,Attorney General,R,
Yamhill,Michael Cross,8782,Attorney General,R,
Total,Michael Cross,279909,Attorney General,R,
Baker,Misc.,75,Attorney General,R,
Benton,Misc.,178,Attorney General,R,
Clackamas,Misc.,814,Attorney General,R,
Clatsop,Misc.,165,Attorney General,R,
Columbia,Misc.,278,Attorney General,R,
Coos,Misc.,287,Attorney General,R,
Crook,Misc.,99,Attorney General,R,
Curry,Misc.,71,Attorney General,R,
Deschutes,Misc.,350,Attorney General,R,
Douglas,Misc.,533,Attorney General,R,
Gilliam,Misc.,3,Attorney General,R,
Grant,Misc.,30,Attorney General,R,
Harney,Misc.,39,Attorney General,R,
Hood River,Misc.,14,Attorney General,R,
Jackson,Misc.,311,Attorney General,R,
Jefferson,Misc.,82,Attorney General,R,
Josephine,Misc.,311,Attorney General,R,
Klamath,Misc.,191,Attorney General,R,
Lake,Misc.,19,Attorney General,R,
Lane,Misc.,729,Attorney General,R,
Lincoln,Misc.,101,Attorney General,R,
Linn,Misc.,667,Attorney General,R,
Malheur,Misc.,39,Attorney General,R,
Marion,Misc.,1355,Attorney General,R,
Morrow,Misc.,32,Attorney General,R,
Multnomah,Misc.,596,Attorney General,R,
Polk,Misc.,278,Attorney General,R,
Sherman,Misc.,34,Attorney General,R,
Tillamook,Misc.,97,Attorney General,R,
Umatilla,Misc.,151,Attorney General,R,
Union,Misc.,114,Attorney General,R,
Wallowa,Misc.,85,Attorney General,R,
Wasco,Misc.,80,Attorney General,R,
Washington,Misc.,925,Attorney General,R,
Wheeler,Misc.,5,Attorney General,R,
Yamhill,Misc.,399,Attorney General,R,
Total,Misc.,9537,Attorney General,R,
Coos,David Brock Smith,3069,State House of Representatives,R,1
Curry,David Brock Smith,3052,State House of Representatives,R,1
Douglas,David Brock Smith,2508,State House of Representatives,R,1
Josephine,David Brock Smith,486,State House of Representatives,R,1
Total,David Brock Smith,9115,State House of Representatives,R,1
Coos,Misc.,26,State House of Representatives,R,1
Curry,Misc.,44,State House of Representatives,R,1
Douglas,Misc.,8,State House of Representatives,R,1
Josephine,Misc.,7,State House of Representatives,R,1
Total,Misc.,85,State House of Representatives,R,1
Lincoln,Max Sherman,3930,State House of Representatives,R,10
Polk,Max Sherman,228,State House of Representatives,R,10
Tillamook,Max Sherman,1023,State House of Representatives,R,10
Yamhill,Max Sherman,605,State House of Representatives,R,10
Total,Max Sherman,5786,State House of Representatives,R,10
Lincoln,Misc.,49,State House of Representatives,R,10
Polk,Misc.,7,State House of Representatives,R,10
Tillamook,Misc.,6,State House of Representatives,R,10
Yamhill,Misc.,10,State House of Representatives,R,10
Total,Misc.,72,State House of Representatives,R,10
Lane,Katie Boshart Glaser,1905,State House of Representatives,R,11
Linn,Katie Boshart Glaser,1923,State House of Representatives,R,11
Total,Katie Boshart Glaser,3828,State House of Representatives,R,11
Lane,Nicole De Graff,1768,State House of Representatives,R,11
Linn,Nicole De Graff,797,State House of Representatives,R,11
Total,Nicole De Graff,2565,State House of Representatives,R,11
Lane,Misc.,33,State House of Representatives,R,11
Linn,Misc.,13,State House of Representatives,R,11
Total,Misc.,46,State House of Representatives,R,11
Lane,Ruth E Linoz,3393,State House of Representatives,R,12
Lane,Misc.,54,State House of Representatives,R,12
Lane,David J Smith,3113,State House of Representatives,R,13
Lane,Misc.,53,State House of Representatives,R,13
Lane,Alison Rhoads,1932,State House of Representatives,R,14
Lane,Rich Cunningham,3043,State House of Representatives,R,14
Lane,Misc.,62,State House of Representatives,R,14
Benton,Shelly Boshart Davis,1696,State House of Representatives,R,15
Linn,Shelly Boshart Davis,6131,State House of Representatives,R,15
Total,Shelly Boshart Davis,7827,State House of Representatives,R,15
Benton,Misc.,12,State House of Representatives,R,15
Linn,Misc.,54,State House of Representatives,R,15
Total,Misc.,66,State House of Representatives,R,15
Benton,Jason Hughes,2435,State House of Representatives,R,16
Benton,Misc.,35,State House of Representatives,R,16
Linn,Dylan Richards,831,State House of Representatives,R,17
Marion,Dylan Richards,121,State House of Representatives,R,17
Total,Dylan Richards,952,State House of Representatives,R,17
Linn,Scott Sword,1877,State House of Representatives,R,17
Marion,Scott Sword,993,State House of Representatives,R,17
Total,Scott Sword,2870,State House of Representatives,R,17
Linn,Timothy L Kirsch,839,State House of Representatives,R,17
Marion,Timothy L Kirsch,876,State House of Representatives,R,17
Total,Timothy L Kirsch,1715,State House of Representatives,R,17
Linn,Susan Coleman,823,State House of Representatives,R,17
Marion,Susan Coleman,181,State House of Representatives,R,17
Total,Susan Coleman,1004,State House of Representatives,R,17
Linn,Bruce Cuff,992,State House of Representatives,R,17
Marion,Bruce Cuff,422,State House of Representatives,R,17
Total,Bruce Cuff,1414,State House of Representatives,R,17
Linn,Jami Cate,2535,State House of Representatives,R,17
Marion,Jami Cate,368,State House of Representatives,R,17
Total,Jami Cate,2903,State House of Representatives,R,17
Linn,Misc.,28,State House of Representatives,R,17
Marion,Misc.,9,State House of Representatives,R,17
Total,Misc.,37,State House of Representatives,R,17
Clackamas,Rick Lewis,3018,State House of Representatives,R,18
Marion,Rick Lewis,4375,State House of Representatives,R,18
Total,Rick Lewis,7393,State House of Representatives,R,18
Clackamas,Misc.,18,State House of Representatives,R,18
Marion,Misc.,29,State House of Representatives,R,18
Total,Misc.,47,State House of Representatives,R,18
Marion,Raquel Moore-Green,6574,State House of Representatives,R,19
Marion,Misc.,61,State House of Representatives,R,19
Douglas,Gary Leif,7113,State House of Representatives,R,2
Jackson,Gary Leif,202,State House of Representatives,R,2
Josephine,Gary Leif,806,State House of Representatives,R,2
Total,Gary Leif,8121,State House of Representatives,R,2
Douglas,Misc.,94,State House of Representatives,R,2
Jackson,Misc.,4,State House of Representatives,R,2
Josephine,Misc.,28,State House of Representatives,R,2
Total,Misc.,126,State House of Representatives,R,2
Marion,Selma Pierce,1452,State House of Representatives,R,20
Polk,Selma Pierce,2320,State House of Representatives,R,20
Total,Selma Pierce,3772,State House of Representatives,R,20
Marion,Kevin S Chambers,1150,State House of Representatives,R,20
Polk,Kevin S Chambers,2454,State House of Representatives,R,20
Total,Kevin S Chambers,3604,State House of Representatives,R,20
Marion,Misc.,28,State House of Representatives,R,20
Polk,Misc.,37,State House of Representatives,R,20
Total,Misc.,65,State House of Representatives,R,20
Marion,Jack L ESP,3282,State House of Representatives,R,21
Marion,Misc.,65,State House of Representatives,R,21
Marion,Anna Kasachev,2633,State House of Representatives,R,22
Marion,Misc.,44,State House of Representatives,R,22
Benton,Mike Nearman,1358,State House of Representatives,R,23
Marion,Mike Nearman,1145,State House of Representatives,R,23
Polk,Mike Nearman,4396,State House of Representatives,R,23
Yamhill,Mike Nearman,1687,State House of Representatives,R,23
Total,Mike Nearman,8586,State House of Representatives,R,23
Benton,Misc.,15,State House of Representatives,R,23
Marion,Misc.,12,State House of Representatives,R,23
Polk,Misc.,73,State House of Representatives,R,23
Yamhill,Misc.,17,State House of Representatives,R,23
Total,Misc.,117,State House of Representatives,R,23
Washington,Ron Noble,1148,State House of Representatives,R,24
Yamhill,Ron Noble,5637,State House of Representatives,R,24
Total,Ron Noble,6785,State House of Representatives,R,24
Washington,Misc.,14,State House of Representatives,R,24
Yamhill,Misc.,44,State House of Representatives,R,24
Total,Misc.,58,State House of Representatives,R,24
Marion,Bill Post,4627,State House of Representatives,R,25
Washington,Bill Post,0,State House of Representatives,R,25
Yamhill,Bill Post,2739,State House of Representatives,R,25
Total,Bill Post,7366,State House of Representatives,R,25
Marion,Misc.,65,State House of Representatives,R,25
Washington,Misc.,0,State House of Representatives,R,25
Yamhill,Misc.,30,State House of Representatives,R,25
Total,Misc.,95,State House of Representatives,R,25
Clackamas,Larry J McDonald,243,State House of Representatives,R,26
Washington,Larry J McDonald,764,State House of Representatives,R,26
Total,Larry J McDonald,1007,State House of Representatives,R,26
Clackamas,Peggy Stevens,1093,State House of Representatives,R,26
Washington,Peggy Stevens,2934,State House of Representatives,R,26
Total,Peggy Stevens,4027,State House of Representatives,R,26
Clackamas,Dan Laschober,617,State House of Representatives,R,26
Washington,Dan Laschober,1398,State House of Representatives,R,26
Total,Dan Laschober,2015,State House of Representatives,R,26
Clackamas,Misc.,15,State House of Representatives,R,26
Washington,Misc.,56,State House of Representatives,R,26
